 VSOP87 VERSION D4    JUPITER   VARIABLE 3 (LBR)       *T**5      9 TERMS    HELIOCENTRIC DYNAMICAL ECLIPTIC AND EQUINOX OF THE DATE
 4535    1  0  0  0  0  1 -5  0  0  0  0  0  0  0.00000009304     0.00000006214     0.00000011188 4.75249399945     536.80451209540 
 4535    2  0  0  0  0  3 -5  0  0  0  0  0  0 -0.00000003432    -0.00000002516     0.00000004255 5.91516229170     522.57741809380 
 4535    3  0  0  0  0  5-10  0  0  0  0  0  0  0.00000001977     0.00000000643     0.00000002079 5.56781555864     515.46387109300 
 4535    4  0  0  0  0  3-10  0  0  0  0  0  0 -0.00000000909    -0.00000001677     0.00000001908 4.29659647286     543.91805909620 
 4535    5  0  0  0  0  2 -5  0  0  0  0  0  0  0.00000000936     0.00000001625     0.00000001875 3.69357495838       7.11354700080 
 4535    6  0  0  0  0  0  5  0  0  0  0  0  0 -0.00000001433     0.00000000688     0.00000001590 5.49312796166    1066.49547719000 
 4535    7  0  0  0  0  2  0  0  0  0  0  0  0 -0.00000000334    -0.00000001577     0.00000001612 4.13222808529    1059.38193018920 
 4535    8  0  0  0  0  4-10  0  0  0  0  0  0 -0.00000000679    -0.00000001038     0.00000001240 3.77981722506      14.22709400160 
 4535    9  0  0  0  0  1  0  0  0  0  0  0  0  0.00000000716    -0.00000000745     0.00000001033 4.50671820436     529.69096509460 
