 VSOP87 VERSION D4    EARTH     VARIABLE 3 (LBR)       *T**5      3 TERMS    HELIOCENTRIC DYNAMICAL ECLIPTIC AND EQUINOX OF THE DATE
 4335    1  0  0  1  0  0  0  0  0  0  0  0  0  0.00000000044     0.00000000074     0.00000000086 1.21579741687    6283.07584999140 
 4335    2  0  0  2  0  0  0  0  0  0  0  0  0  0.00000000003    -0.00000000011     0.00000000012 0.65617264033   12566.15169998280 
 4335    3  0  0  3  0  0  0  0  0  0  0  0  0 -0.00000000001     0.00000000000     0.00000000001 0.38068797142   18849.22754997420 
